Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
90,"(662, 796)","(822, 872)","(742.0, 796)","(742.0, 872)","(662, 834.0)","(822, 834.0)","[76.77564718060017, 98]","[-1, 0]","[76.77564718060017, 98]","[76.77564718060017, 98]"
91,"(848, 796)","(894, 861)","(871.0, 796)","(871.0, 861)","(848, 828.5)","(894, 828.5)","[82.94727240844028, 99]","[88.77640452282351, 93]","[82.94727240844028, 99]","[82.94727240844028, 99]"
92,"(909, 796)","(1010, 875)","(959.5, 796)","(959.5, 875)","(909, 835.5)","(1010, 835.5)","[78.50159234053791, 100]","[88.77640452282351, 92]","[78.50159234053791, 100]","[78.50159234053791, 100]"
93,"(1030, 800)","(1076, 865)","(1053.0, 800)","(1053.0, 865)","(1030, 832.5)","(1076, 832.5)","[93.54811596178727, 93]","[93.54811596178727, 93]","[93.72566350792081, 95]","[93.54811596178727, 93]"
94,"(1097, 813)","(1196, 865)","(1146.5, 813)","(1146.5, 865)","(1097, 839.0)","(1196, 839.0)","[80.95677859203639, 101]","[93.72566350792081, 94]","[80.95677859203639, 101]","[80.95677859203639, 101]"
95,"(314, 875)","(498, 926)","(406.0, 875)","(406.0, 926)","(314, 900.5)","(498, 900.5)","[94.7800084405989, 102]","[109.24856978468871, 89]","[94.7800084405989, 102]","[94.7800084405989, 102]"
96,"(539, 892)","(631, 933)","(585.0, 892)","(585.0, 933)","(539, 912.5)","(631, 912.5)","[81.02468759581859, 103]","[-1, 0]","[81.02468759581859, 103]","[81.02468759581859, 103]"
97,"(670, 878)","(827, 943)","(748.5, 878)","(748.5, 943)","(670, 910.5)","(827, 910.5)","[83.47005451058482, 105]","[76.77564718060017, 91]","[76.77564718060017, 91]","[76.77564718060017, 91]"
98,"(868, 878)","(914, 940)","(891.0, 878)","(891.0, 940)","(868, 909.0)","(914, 909.0)","[89.00140448330015, 106]","[82.94727240844028, 92]","[82.94727240844028, 92]","[82.94727240844028, 92]"
99,"(947, 875)","(1015, 947)","(981.0, 875)","(981.0, 947)","(947, 911.0)","(1015, 911.0)","[88.3911760301898, 107]","[78.50159234053791, 93]","[78.50159234053791, 93]","[78.50159234053791, 93]"
100,"(1047, 878)","(1196, 954)","(1121.5, 878)","(1121.5, 954)","(1047, 916.0)","(1196, 916.0)","[86.55922827752106, 108]","[80.95677859203639, 95]","[80.95677859203639, 95]","[80.95677859203639, 95]"
101,"(324, 954)","(541, 1029)","(432.5, 954)","(432.5, 1029)","(324, 991.5)","(541, 991.5)","[-1, 0]","[94.7800084405989, 96]","[-1, 0]","[-1, 0]"
102,"(580, 954)","(626, 1029)","(603.0, 954)","(603.0, 1029)","(580, 991.5)","(626, 991.5)","[80.45029521387724, 111]","[81.02468759581859, 97]","[80.45029521387724, 111]","[80.45029521387724, 111]"
103,"(648, 954)","(728, 1025)","(688.0, 954)","(688.0, 1025)","(648, 989.5)","(728, 989.5)","[-1, 0]","[-1, 0]","[91.51229425601787, 105]","[-1, 0]"
104,"(757, 954)","(802, 1022)","(779.5, 954)","(779.5, 1022)","(757, 988.0)","(802, 988.0)","[91.51229425601787, 104]","[83.47005451058482, 98]","[83.47005451058482, 98]","[83.47005451058482, 98]"
105,"(831, 964)","(950, 1032)","(890.5, 964)","(890.5, 1032)","(831, 998.0)","(950, 998.0)","[-1, 0]","[89.00140448330015, 99]","[-1, 0]","[-1, 0]"
106,"(981, 957)","(1047, 1029)","(1014.0, 957)","(1014.0, 1029)","(981, 993.0)","(1047, 993.0)","[87.48857068211825, 114]","[88.3911760301898, 100]","[87.48857068211825, 114]","[87.48857068211825, 114]"
107,"(1076, 974)","(1194, 1029)","(1135.0, 974)","(1135.0, 1029)","(1076, 1001.5)","(1194, 1001.5)","[80.35079339994098, 116]","[86.55922827752106, 101]","[80.35079339994098, 116]","[80.35079339994098, 116]"
108,"(309, 1029)","(464, 1118)","(386.5, 1029)","(386.5, 1118)","(309, 1073.5)","(464, 1073.5)","[85.0, 117]","[85.0, 117]","[85.0, 117]","[85.0, 117]"
109,"(486, 1032)","(532, 1104)","(509.0, 1032)","(509.0, 1104)","(486, 1068.0)","(532, 1068.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
110,"(551, 1032)","(672, 1111)","(611.5, 1032)","(611.5, 1111)","(551, 1071.5)","(672, 1071.5)","[95.29559276272958, 120]","[80.45029521387724, 103]","[80.45029521387724, 103]","[80.45029521387724, 103]"
111,"(694, 1036)","(783, 1107)","(738.5, 1036)","(738.5, 1107)","(694, 1071.5)","(783, 1071.5)","[-1, 0]","[93.02284665607691, 105]","[93.02284665607691, 105]","[93.02284665607691, 105]"
112,"(800, 1039)","(928, 1118)","(864.0, 1039)","(864.0, 1118)","(800, 1078.5)","(928, 1078.5)","[92.91393867445294, 121]","[-1, 0]","[-1, 0]","[-1, 0]"
113,"(940, 1032)","(1027, 1118)","(983.5, 1032)","(983.5, 1118)","(940, 1075.0)","(1027, 1075.0)","[86.81157756889343, 122]","[87.48857068211825, 107]","[86.81157756889343, 122]","[86.81157756889343, 122]"
114,"(1047, 1039)","(1136, 1111)","(1091.5, 1039)","(1091.5, 1111)","(1047, 1075.0)","(1136, 1075.0)","[85.64607404896036, 116]","[85.40784507292055, 108]","[85.40784507292055, 108]","[85.40784507292055, 108]"
115,"(1160, 1039)","(1194, 1101)","(1177.0, 1039)","(1177.0, 1101)","(1160, 1070.0)","(1194, 1070.0)","[85.64607404896036, 115]","[80.35079339994098, 108]","[80.35079339994098, 108]","[80.35079339994098, 108]"
116,"(309, 1114)","(384, 1183)","(346.5, 1114)","(346.5, 1183)","(309, 1148.5)","(384, 1148.5)","[82.23442101699264, 125]","[85.0, 109]","[82.23442101699264, 125]","[82.23442101699264, 125]"
