Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
288,"(1482, 1883)","(1586, 1962)","(1534.0, 1883)","(1534.0, 1962)","(1482, 1922.5)","(1586, 1922.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
289,"(1593, 1873)","(1689, 1955)","(1641.0, 1873)","(1641.0, 1955)","(1593, 1914.0)","(1689, 1914.0)","[70.8590149522275, 243]","[70.8590149522275, 243]","[70.8590149522275, 243]","[70.8590149522275, 243]"
290,"(1702, 1880)","(1796, 1945)","(1749.0, 1880)","(1749.0, 1945)","(1702, 1912.5)","(1796, 1912.5)","[93.81364506296512, 252]","[74.37909652583849, 244]","[74.37909652583849, 244]","[74.37909652583849, 244]"
291,"(1897, 1894)","(1960, 1952)","(1928.5, 1894)","(1928.5, 1952)","(1897, 1923.0)","(1960, 1923.0)","[78.13129974600449, 253]","[94.92760399378044, 293]","[78.13129974600449, 253]","[78.13129974600449, 253]"
292,"(1975, 1880)","(2071, 1948)","(2023.0, 1880)","(2023.0, 1948)","(1975, 1914.0)","(2071, 1914.0)","[83.07376240426336, 294]","[83.07376240426336, 294]","[83.07376240426336, 294]","[86.20469824783333, 247]"
293,"(2083, 1880)","(2129, 1941)","(2106.0, 1880)","(2106.0, 1941)","(2083, 1910.5)","(2129, 1910.5)","[-1, 0]","[-1, 0]","[-1, 0]","[83.07376240426336, 293]"
294,"(2137, 1873)","(2224, 1958)","(2180.5, 1873)","(2180.5, 1958)","(2137, 1915.5)","(2224, 1915.5)","[73.83258088405145, 296]","[73.83258088405145, 296]","[73.83258088405145, 296]","[-1, 0]"
295,"(2231, 1876)","(2277, 1941)","(2254.0, 1876)","(2254.0, 1941)","(2231, 1908.5)","(2277, 1908.5)","[73.83258088405145, 295]","[73.83258088405145, 295]","[-1, 0]","[73.83258088405145, 295]"
296,"(309, 2044)","(399, 2099)","(354.0, 2044)","(354.0, 2099)","(309, 2071.5)","(399, 2071.5)","[76.40844194197392, 305]","[90.51243008559653, 277]","[76.40844194197392, 305]","[76.40844194197392, 305]"
297,"(416, 2027)","(503, 2095)","(459.5, 2027)","(459.5, 2095)","(416, 2061.0)","(503, 2061.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
298,"(520, 2027)","(592, 2095)","(556.0, 2027)","(556.0, 2095)","(520, 2061.0)","(592, 2061.0)","[-1, 0]","[74.38077708655645, 279]","[74.38077708655645, 279]","[74.38077708655645, 279]"
299,"(611, 2044)","(831, 2105)","(721.0, 2044)","(721.0, 2105)","(611, 2074.5)","(831, 2074.5)","[76.15773105863909, 307]","[-1, 0]","[76.15773105863909, 307]","[76.15773105863909, 307]"
300,"(848, 2030)","(894, 2095)","(871.0, 2030)","(871.0, 2095)","(848, 2062.5)","(894, 2062.5)","[67.10625902253828, 302]","[67.10625902253828, 302]","[67.10625902253828, 302]","[86.64871608973787, 309]"
301,"(911, 2034)","(964, 2109)","(937.5, 2034)","(937.5, 2109)","(911, 2071.5)","(964, 2071.5)","[67.10625902253828, 301]","[67.10625902253828, 301]","[82.53029746705145, 309]","[67.10625902253828, 301]"
302,"(986, 2037)","(1090, 2092)","(1038.0, 2037)","(1038.0, 2092)","(986, 2064.5)","(1090, 2064.5)","[86.57078028988765, 310]","[83.95236744726142, 286]","[83.95236744726142, 286]","[83.95236744726142, 286]"
303,"(1109, 2030)","(1148, 2116)","(1128.5, 2030)","(1128.5, 2116)","(1109, 2073.0)","(1148, 2073.0)","[73.58328614570023, 311]","[73.58328614570023, 311]","[73.58328614570023, 311]","[73.58328614570023, 311]"
304,"(309, 2105)","(476, 2170)","(392.5, 2105)","(392.5, 2170)","(309, 2137.5)","(476, 2137.5)","[-1, 0]","[76.40844194197392, 297]","[76.40844194197392, 297]","[76.40844194197392, 297]"
305,"(498, 2109)","(592, 2177)","(545.0, 2109)","(545.0, 2177)","(498, 2143.0)","(592, 2143.0)","[84.00148808205721, 314]","[-1, 0]","[-1, 0]","[-1, 0]"
306,"(616, 2119)","(766, 2170)","(691.0, 2119)","(691.0, 2170)","(616, 2144.5)","(766, 2144.5)","[93.23089616645332, 315]","[76.15773105863909, 300]","[76.15773105863909, 300]","[76.15773105863909, 300]"
307,"(788, 2112)","(834, 2177)","(811.0, 2112)","(811.0, 2177)","(788, 2144.5)","(834, 2144.5)","[88.0, 309]","[88.0, 309]","[88.0, 309]","[-1, 0]"
308,"(853, 2112)","(945, 2177)","(899.0, 2112)","(899.0, 2177)","(853, 2144.5)","(945, 2144.5)","[80.94751385929032, 317]","[82.53029746705145, 302]","[80.94751385929032, 317]","[80.94751385929032, 317]"
309,"(964, 2109)","(1039, 2177)","(1001.5, 2109)","(1001.5, 2177)","(964, 2143.0)","(1039, 2143.0)","[-1, 0]","[86.57078028988765, 303]","[86.57078028988765, 303]","[86.57078028988765, 303]"
310,"(1056, 2109)","(1194, 2184)","(1125.0, 2109)","(1125.0, 2184)","(1056, 2146.5)","(1194, 2146.5)","[73.58328614570023, 304]","[73.58328614570023, 304]","[73.58328614570023, 304]","[73.58328614570023, 304]"
311,"(312, 2198)","(377, 2256)","(344.5, 2198)","(344.5, 2256)","(312, 2227.0)","(377, 2227.0)","[80.89499366462674, 349]","[-1, 0]","[80.89499366462674, 349]","[80.89499366462674, 349]"
312,"(401, 2191)","(505, 2259)","(453.0, 2191)","(453.0, 2259)","(401, 2225.0)","(505, 2225.0)","[84.00148808205721, 350]","[-1, 0]","[84.00148808205721, 350]","[84.00148808205721, 350]"
313,"(524, 2191)","(614, 2256)","(569.0, 2191)","(569.0, 2256)","(524, 2223.5)","(614, 2223.5)","[86.28441342444185, 315]","[84.00148808205721, 306]","[84.00148808205721, 306]","[84.00148808205721, 306]"
314,"(638, 2205)","(672, 2256)","(655.0, 2205)","(655.0, 2256)","(638, 2230.5)","(672, 2230.5)","[80.35079339994098, 352]","[86.28441342444185, 314]","[80.35079339994098, 352]","[80.35079339994098, 352]"
315,"(696, 2205)","(798, 2256)","(747.0, 2205)","(747.0, 2256)","(696, 2230.5)","(798, 2230.5)","[86.73090567957884, 353]","[-1, 0]","[86.73090567957884, 353]","[86.73090567957884, 353]"
316,"(819, 2194)","(996, 2256)","(907.5, 2194)","(907.5, 2256)","(819, 2225.0)","(996, 2225.0)","[-1, 0]","[80.94751385929032, 309]","[80.94751385929032, 309]","[80.94751385929032, 309]"
317,"(1018, 2194)","(1073, 2256)","(1045.5, 2194)","(1045.5, 2256)","(1018, 2225.0)","(1073, 2225.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
318,"(1100, 2208)","(1192, 2273)","(1146.0, 2208)","(1146.0, 2273)","(1100, 2240.5)","(1192, 2240.5)","[75.20804478245661, 357]","[96.317184344228, 311]","[75.20804478245661, 357]","[75.20804478245661, 357]"
319,"(305, 2345)","(372, 2423)","(338.5, 2345)","(338.5, 2423)","(305, 2384.0)","(372, 2384.0)","[77.23341245859851, 349]","[77.23341245859851, 349]","[77.23341245859851, 349]","[77.23341245859851, 349]"
320,"(382, 2352)","(469, 2423)","(425.5, 2352)","(425.5, 2423)","(382, 2387.5)","(469, 2387.5)","[87.07037383634, 320]","[82.07466113241041, 350]","[82.07466113241041, 350]","[82.07466113241041, 350]"
321,"(479, 2348)","(561, 2420)","(520.0, 2348)","(520.0, 2420)","(479, 2384.0)","(561, 2384.0)","[85.786071130458, 330]","[73.78685519792803, 351]","[73.78685519792803, 351]","[73.78685519792803, 351]"
322,"(568, 2365)","(723, 2427)","(645.5, 2365)","(645.5, 2427)","(568, 2396.0)","(723, 2396.0)","[77.36439749652291, 331]","[87.17367721967452, 352]","[77.36439749652291, 331]","[77.36439749652291, 331]"
323,"(732, 2355)","(800, 2430)","(766.0, 2355)","(766.0, 2430)","(732, 2392.5)","(800, 2392.5)","[78.08969202141856, 332]","[83.27214420200791, 353]","[78.08969202141856, 332]","[78.08969202141856, 332]"
324,"(807, 2355)","(904, 2420)","(855.5, 2355)","(855.5, 2420)","(807, 2387.5)","(904, 2387.5)","[81.5751187556598, 326]","[81.5751187556598, 326]","[81.5751187556598, 326]","[86.44362324659929, 354]"
325,"(914, 2355)","(960, 2427)","(937.0, 2355)","(937.0, 2427)","(914, 2391.0)","(960, 2391.0)","[81.5751187556598, 325]","[81.5751187556598, 325]","[82.23442101699264, 355]","[81.5751187556598, 325]"
326,"(976, 2369)","(1107, 2430)","(1041.5, 2369)","(1041.5, 2430)","(976, 2399.5)","(1107, 2399.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
327,"(1119, 2352)","(1194, 2420)","(1156.5, 2352)","(1156.5, 2420)","(1119, 2386.0)","(1194, 2386.0)","[-1, 0]","[77.3902448632901, 357]","[77.3902448632901, 357]","[77.3902448632901, 357]"
328,"(309, 2430)","(447, 2492)","(378.0, 2430)","(378.0, 2492)","(309, 2461.0)","(447, 2461.0)","[-1, 0]","[86.54045296853951, 320]","[86.54045296853951, 320]","[86.54045296853951, 320]"
329,"(462, 2437)","(592, 2502)","(527.0, 2437)","(527.0, 2502)","(462, 2469.5)","(592, 2469.5)","[-1, 0]","[85.786071130458, 322]","[85.786071130458, 322]","[85.786071130458, 322]"
330,"(607, 2430)","(699, 2516)","(653.0, 2430)","(653.0, 2516)","(607, 2473.0)","(699, 2473.0)","[-1, 0]","[77.36439749652291, 323]","[77.36439749652291, 323]","[77.36439749652291, 323]"
331,"(706, 2437)","(800, 2502)","(753.0, 2437)","(753.0, 2502)","(706, 2469.5)","(800, 2469.5)","[-1, 0]","[78.08969202141856, 324]","[78.08969202141856, 324]","[78.08969202141856, 324]"
332,"(812, 2447)","(1003, 2509)","(907.5, 2447)","(907.5, 2509)","(812, 2478.0)","(1003, 2478.0)","[-1, 0]","[91.86539065393453, 326]","[91.86539065393453, 326]","[91.86539065393453, 326]"
333,"(1015, 2440)","(1049, 2505)","(1032.0, 2440)","(1032.0, 2505)","(1015, 2472.5)","(1049, 2472.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
334,"(1390, 2215)","(1530, 2276)","(1460.0, 2215)","(1460.0, 2276)","(1390, 2245.5)","(1530, 2245.5)","[72.2357252334328, 337]","[82.0, 264]","[72.2357252334328, 337]","[72.2357252334328, 337]"
335,"(1549, 2198)","(1617, 2273)","(1583.0, 2198)","(1583.0, 2273)","(1549, 2235.5)","(1617, 2235.5)","[75.18643494673756, 339]","[74.3185710303959, 265]","[74.3185710303959, 265]","[74.3185710303959, 265]"
336,"(1387, 2280)","(1479, 2345)","(1433.0, 2280)","(1433.0, 2345)","(1387, 2312.5)","(1479, 2312.5)","[78.0544681616626, 358]","[72.2357252334328, 335]","[72.2357252334328, 335]","[72.2357252334328, 335]"
337,"(1496, 2276)","(1540, 2345)","(1518.0, 2276)","(1518.0, 2345)","(1496, 2310.5)","(1540, 2310.5)","[83.02409288875127, 339]","[83.02409288875127, 339]","[83.02409288875127, 339]","[85.0235261559999, 337]"
338,"(1554, 2276)","(1648, 2341)","(1601.0, 2276)","(1601.0, 2341)","(1554, 2308.5)","(1648, 2308.5)","[83.02409288875127, 338]","[75.18643494673756, 336]","[75.18643494673756, 336]","[75.18643494673756, 336]"
339,"(1665, 2276)","(1743, 2345)","(1704.0, 2276)","(1704.0, 2345)","(1665, 2310.5)","(1743, 2310.5)","[79.02531240052139, 360]","[102.8846441409018, 341]","[79.02531240052139, 360]","[79.02531240052139, 360]"
340,"(1714, 2205)","(1839, 2270)","(1776.5, 2205)","(1776.5, 2270)","(1714, 2237.5)","(1839, 2237.5)","[102.8846441409018, 340]","[84.13382197428095, 267]","[84.13382197428095, 267]","[84.13382197428095, 267]"
341,"(1861, 2205)","(1972, 2270)","(1916.5, 2205)","(1916.5, 2270)","(1861, 2237.5)","(1972, 2237.5)","[76.10026281163555, 345]","[95.77055915050303, 268]","[76.10026281163555, 345]","[76.10026281163555, 345]"
342,"(1992, 2198)","(2146, 2273)","(2069.0, 2198)","(2069.0, 2273)","(1992, 2235.5)","(2146, 2235.5)","[74.38077708655645, 347]","[108.07404868885037, 269]","[74.38077708655645, 347]","[74.38077708655645, 347]"
343,"(2158, 2205)","(2279, 2270)","(2218.5, 2205)","(2218.5, 2270)","(2158, 2237.5)","(2279, 2237.5)","[72.12835780745324, 348]","[83.194050268033, 270]","[72.12835780745324, 348]","[72.12835780745324, 348]"
344,"(1837, 2273)","(1934, 2341)","(1885.5, 2273)","(1885.5, 2341)","(1837, 2307.0)","(1934, 2307.0)","[91.46857383823145, 361]","[76.10026281163555, 342]","[76.10026281163555, 342]","[76.10026281163555, 342]"
345,"(1953, 2273)","(2042, 2338)","(1997.5, 2273)","(1997.5, 2338)","(1953, 2305.5)","(2042, 2305.5)","[81.58431221748455, 362]","[98.00127550190355, 347]","[81.58431221748455, 362]","[81.58431221748455, 362]"
346,"(2064, 2276)","(2127, 2334)","(2095.5, 2276)","(2095.5, 2334)","(2064, 2305.0)","(2127, 2305.0)","[-1, 0]","[74.38077708655645, 343]","[74.38077708655645, 343]","[74.38077708655645, 343]"
347,"(2144, 2270)","(2274, 2348)","(2209.0, 2270)","(2209.0, 2348)","(2144, 2309.0)","(2274, 2309.0)","[83.34416596259153, 365]","[72.12835780745324, 344]","[72.12835780745324, 344]","[72.12835780745324, 344]"
348,"(305, 2266)","(360, 2348)","(332.5, 2266)","(332.5, 2348)","(305, 2307.0)","(360, 2307.0)","[77.23341245859851, 320]","[77.23341245859851, 320]","[77.23341245859851, 320]","[77.23341245859851, 320]"
349,"(372, 2266)","(486, 2345)","(429.0, 2266)","(429.0, 2345)","(372, 2305.5)","(486, 2305.5)","[82.07466113241041, 321]","[84.00148808205721, 313]","[82.07466113241041, 321]","[82.07466113241041, 321]"
350,"(495, 2273)","(532, 2348)","(513.5, 2273)","(513.5, 2348)","(495, 2310.5)","(532, 2310.5)","[73.78685519792803, 322]","[84.64779973513782, 350]","[73.78685519792803, 322]","[73.78685519792803, 322]"
351,"(626, 2273)","(699, 2348)","(662.5, 2273)","(662.5, 2348)","(626, 2310.5)","(699, 2310.5)","[87.17367721967452, 323]","[80.35079339994098, 315]","[80.35079339994098, 315]","[80.35079339994098, 315]"
352,"(708, 2273)","(853, 2348)","(780.5, 2273)","(780.5, 2348)","(708, 2310.5)","(853, 2310.5)","[83.27214420200791, 324]","[86.73090567957884, 316]","[83.27214420200791, 324]","[83.27214420200791, 324]"
353,"(865, 2273)","(909, 2341)","(887.0, 2273)","(887.0, 2341)","(865, 2307.0)","(909, 2307.0)","[74.70274426016758, 355]","[74.70274426016758, 355]","[74.70274426016758, 355]","[-1, 0]"
354,"(918, 2287)","(1005, 2338)","(961.5, 2287)","(961.5, 2338)","(918, 2312.5)","(1005, 2312.5)","[74.70274426016758, 354]","[74.70274426016758, 354]","[82.23442101699264, 326]","[74.70274426016758, 354]"
355,"(1013, 2276)","(1146, 2338)","(1079.5, 2276)","(1079.5, 2338)","(1013, 2307.0)","(1146, 2307.0)","[94.06513700622564, 357]","[-1, 0]","[-1, 0]","[-1, 0]"
356,"(1158, 2276)","(1189, 2345)","(1173.5, 2276)","(1173.5, 2345)","(1158, 2310.5)","(1189, 2310.5)","[77.3902448632901, 328]","[75.20804478245661, 319]","[75.20804478245661, 319]","[75.20804478245661, 319]"
357,"(1387, 2358)","(1448, 2420)","(1417.5, 2358)","(1417.5, 2420)","(1387, 2389.0)","(1448, 2389.0)","[90.4723714732846, 366]","[78.0544681616626, 337]","[78.0544681616626, 337]","[78.0544681616626, 337]"
358,"(1462, 2369)","(1629, 2430)","(1545.5, 2369)","(1545.5, 2430)","(1462, 2399.5)","(1629, 2399.5)","[73.49319696407281, 367]","[93.15175790075033, 338]","[73.49319696407281, 367]","[73.49319696407281, 367]"
359,"(1648, 2362)","(1764, 2417)","(1706.0, 2362)","(1706.0, 2417)","(1648, 2389.5)","(1764, 2389.5)","[102.63649448417459, 368]","[79.02531240052139, 340]","[79.02531240052139, 340]","[79.02531240052139, 340]"
360,"(1784, 2355)","(1922, 2430)","(1853.0, 2355)","(1853.0, 2430)","(1784, 2392.5)","(1922, 2392.5)","[107.16809226630845, 369]","[91.46857383823145, 345]","[91.46857383823145, 345]","[91.46857383823145, 345]"
361,"(1938, 2358)","(2025, 2413)","(1981.5, 2358)","(1981.5, 2413)","(1938, 2385.5)","(2025, 2385.5)","[-1, 0]","[81.58431221748455, 346]","[81.58431221748455, 346]","[81.58431221748455, 346]"
362,"(2042, 2358)","(2125, 2420)","(2083.5, 2358)","(2083.5, 2420)","(2042, 2389.0)","(2125, 2389.0)","[73.51530452905708, 364]","[73.51530452905708, 364]","[73.51530452905708, 364]","[-1, 0]"
363,"(2134, 2352)","(2180, 2423)","(2157.0, 2352)","(2157.0, 2423)","(2134, 2387.5)","(2180, 2387.5)","[73.51530452905708, 363]","[73.51530452905708, 363]","[80.0, 365]","[73.51530452905708, 363]"
364,"(2192, 2355)","(2282, 2420)","(2237.0, 2355)","(2237.0, 2420)","(2192, 2387.5)","(2282, 2387.5)","[80.0, 364]","[80.0, 364]","[-1, 0]","[80.0, 364]"
365,"(1385, 2451)","(1496, 2502)","(1440.5, 2451)","(1440.5, 2502)","(1385, 2476.5)","(1496, 2476.5)","[77.5967138479459, 371]","[90.4723714732846, 358]","[77.5967138479459, 371]","[77.5967138479459, 371]"
366,"(1506, 2440)","(1602, 2505)","(1554.0, 2440)","(1554.0, 2505)","(1506, 2472.5)","(1602, 2472.5)","[88.87350561331537, 372]","[73.49319696407281, 359]","[73.49319696407281, 359]","[73.49319696407281, 359]"
367,"(1612, 2454)","(1709, 2509)","(1660.5, 2454)","(1660.5, 2509)","(1612, 2481.5)","(1709, 2481.5)","[93.0658369112963, 372]","[102.63649448417459, 360]","[93.0658369112963, 372]","[93.0658369112963, 372]"
368,"(1726, 2454)","(1842, 2495)","(1784.0, 2454)","(1784.0, 2495)","(1726, 2474.5)","(1842, 2474.5)","[75.67198953377662, 373]","[107.16809226630845, 361]","[75.67198953377662, 373]","[75.67198953377662, 373]"
369,"(1859, 2434)","(1992, 2509)","(1925.5, 2434)","(1925.5, 2509)","(1859, 2471.5)","(1992, 2471.5)","[95.09600412215016, 374]","[102.62553288534, 362]","[95.09600412215016, 374]","[95.09600412215016, 374]"
370,"(1387, 2522)","(1520, 2584)","(1453.5, 2522)","(1453.5, 2584)","(1387, 2553.0)","(1520, 2553.0)","[89.86934961375874, 378]","[77.5967138479459, 366]","[77.5967138479459, 366]","[77.5967138479459, 366]"
371,"(1530, 2519)","(1665, 2581)","(1597.5, 2519)","(1597.5, 2581)","(1530, 2550.0)","(1665, 2550.0)","[97.11977141653496, 380]","[88.87350561331537, 367]","[88.87350561331537, 367]","[88.87350561331537, 367]"
372,"(1682, 2522)","(1922, 2574)","(1802.0, 2522)","(1802.0, 2574)","(1682, 2548.0)","(1922, 2548.0)","[93.77632963600144, 382]","[75.67198953377662, 369]","[75.67198953377662, 369]","[75.67198953377662, 369]"
373,"(1936, 2519)","(2013, 2587)","(1974.5, 2519)","(1974.5, 2587)","(1936, 2553.0)","(2013, 2553.0)","[90.73312515283489, 375]","[90.73312515283489, 375]","[90.73312515283489, 375]","[95.09600412215016, 370]"
374,"(2025, 2519)","(2105, 2574)","(2065.0, 2519)","(2065.0, 2574)","(2025, 2546.5)","(2105, 2546.5)","[73.01540933255117, 376]","[73.01540933255117, 376]","[73.01540933255117, 376]","[90.73312515283489, 374]"
375,"(2120, 2516)","(2156, 2574)","(2138.0, 2516)","(2138.0, 2574)","(2120, 2545.0)","(2156, 2545.0)","[73.01540933255117, 375]","[72.11102550927978, 383]","[72.11102550927978, 383]","[72.11102550927978, 383]"
376,"(2170, 2519)","(2274, 2574)","(2222.0, 2519)","(2222.0, 2574)","(2170, 2546.5)","(2274, 2546.5)","[84.01339178964268, 376]","[77.19617866190009, 384]","[77.19617866190009, 384]","[77.19617866190009, 384]"
377,"(1387, 2615)","(1479, 2666)","(1433.0, 2615)","(1433.0, 2666)","(1387, 2640.5)","(1479, 2640.5)","[109.01834707974616, 379]","[89.86934961375874, 371]","[89.86934961375874, 371]","[89.86934961375874, 371]"
378,"(1489, 2604)","(1595, 2673)","(1542.0, 2604)","(1542.0, 2673)","(1489, 2638.5)","(1595, 2638.5)","[95.5, 380]","[95.5, 380]","[95.5, 380]","[104.46291207888089, 372]"
379,"(1605, 2611)","(1670, 2666)","(1637.5, 2611)","(1637.5, 2666)","(1605, 2638.5)","(1670, 2638.5)","[95.5, 379]","[95.5, 379]","[97.11977141653496, 372]","[95.5, 379]"
380,"(1685, 2618)","(1805, 2659)","(1745.0, 2618)","(1745.0, 2659)","(1685, 2638.5)","(1805, 2638.5)","[92.06655201537636, 382]","[92.06655201537636, 382]","[92.06655201537636, 382]","[-1, 0]"
381,"(1820, 2601)","(1854, 2669)","(1837.0, 2601)","(1837.0, 2669)","(1820, 2635.0)","(1854, 2635.0)","[92.06655201537636, 381]","[92.06655201537636, 381]","[93.77632963600144, 373]","[92.06655201537636, 381]"
382,"(2093, 2434)","(2175, 2512)","(2134.0, 2434)","(2134.0, 2512)","(2093, 2473.0)","(2175, 2473.0)","[72.11102550927978, 376]","[-1, 0]","[72.11102550927978, 376]","[72.11102550927978, 376]"
383,"(2183, 2434)","(2272, 2505)","(2227.5, 2434)","(2227.5, 2505)","(2183, 2469.5)","(2272, 2469.5)","[77.19617866190009, 377]","[-1, 0]","[77.19617866190009, 377]","[77.19617866190009, 377]"
384,"(408, 2618)","(517, 2673)","(462.5, 2618)","(462.5, 2673)","(408, 2645.5)","(517, 2645.5)","[119.16060590648236, 390]","[-1, 0]","[-1, 0]","[-1, 0]"
385,"(563, 2611)","(715, 2676)","(639.0, 2611)","(639.0, 2676)","(563, 2643.5)","(715, 2643.5)","[92.34987818075344, 392]","[-1, 0]","[92.34987818075344, 392]","[92.34987818075344, 392]"
386,"(759, 2618)","(945, 2669)","(852.0, 2618)","(852.0, 2669)","(759, 2643.5)","(945, 2643.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
387,"(993, 2611)","(1042, 2673)","(1017.5, 2611)","(1017.5, 2673)","(993, 2642.0)","(1042, 2642.0)","[-1, 0]","[111.19015244166185, 389]","[-1, 0]","[-1, 0]"
388,"(1068, 2628)","(1189, 2669)","(1128.5, 2628)","(1128.5, 2669)","(1068, 2648.5)","(1189, 2648.5)","[-1, 0]","[111.19015244166185, 388]","[-1, 0]","[-1, 0]"
389,"(305, 2693)","(454, 2769)","(379.5, 2693)","(379.5, 2769)","(305, 2731.0)","(454, 2731.0)","[81.1326075015465, 436]","[119.16060590648236, 385]","[81.1326075015465, 436]","[81.1326075015465, 436]"
390,"(474, 2697)","(628, 2762)","(551.0, 2697)","(551.0, 2762)","(474, 2729.5)","(628, 2729.5)","[82.73149339882606, 438]","[-1, 0]","[82.73149339882606, 438]","[82.73149339882606, 438]"
391,"(648, 2697)","(713, 2755)","(680.5, 2697)","(680.5, 2755)","(648, 2726.0)","(713, 2726.0)","[85.21296849658508, 439]","[92.34987818075344, 386]","[85.21296849658508, 439]","[85.21296849658508, 439]"
392,"(759, 2704)","(904, 2755)","(831.5, 2704)","(831.5, 2755)","(759, 2729.5)","(904, 2729.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
393,"(926, 2710)","(989, 2755)","(957.5, 2710)","(957.5, 2755)","(926, 2732.5)","(989, 2732.5)","[80.7619960129763, 444]","[92.63503656824453, 395]","[80.7619960129763, 444]","[80.7619960129763, 444]"
394,"(1010, 2710)","(1090, 2765)","(1050.0, 2710)","(1050.0, 2765)","(1010, 2737.5)","(1090, 2737.5)","[92.63503656824453, 394]","[92.63503656824453, 394]","[100.10619361458112, 445]","[92.63503656824453, 394]"
395,"(1112, 2710)","(1194, 2772)","(1153.0, 2710)","(1153.0, 2772)","(1112, 2741.0)","(1194, 2741.0)","[71.58910531638176, 445]","[-1, 0]","[71.58910531638176, 445]","[71.58910531638176, 445]"
396,"(305, 2868)","(454, 2919)","(379.5, 2868)","(379.5, 2919)","(305, 2893.5)","(454, 2893.5)","[93.46790893135461, 440]","[86.46531096341468, 436]","[86.46531096341468, 436]","[86.46531096341468, 436]"
397,"(464, 2857)","(524, 2919)","(494.0, 2857)","(494.0, 2919)","(464, 2888.0)","(524, 2888.0)","[80.51397394241573, 441]","[77.19617866190009, 437]","[77.19617866190009, 437]","[77.19617866190009, 437]"
398,"(534, 2861)","(665, 2926)","(599.5, 2861)","(599.5, 2926)","(534, 2893.5)","(665, 2893.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
399,"(682, 2857)","(742, 2919)","(712.0, 2857)","(712.0, 2919)","(682, 2888.0)","(742, 2888.0)","[70.78311945654839, 401]","[70.78311945654839, 401]","[70.78311945654839, 401]","[79.82793997091494, 439]"
400,"(749, 2871)","(815, 2926)","(782.0, 2871)","(782.0, 2926)","(749, 2898.5)","(815, 2898.5)","[70.78311945654839, 400]","[70.78311945654839, 400]","[79.8889854735933, 443]","[70.78311945654839, 400]"
401,"(839, 2864)","(945, 2919)","(892.0, 2864)","(892.0, 2919)","(839, 2891.5)","(945, 2891.5)","[105.0773524599854, 443]","[98.20005091648375, 444]","[98.20005091648375, 444]","[98.20005091648375, 444]"
402,"(957, 2861)","(1119, 2912)","(1038.0, 2861)","(1038.0, 2912)","(957, 2886.5)","(1119, 2886.5)","[88.39259018718707, 447]","[113.8913956363693, 444]","[88.39259018718707, 447]","[88.39259018718707, 447]"
403,"(1131, 2857)","(1192, 2916)","(1161.5, 2857)","(1161.5, 2916)","(1131, 2886.5)","(1192, 2886.5)","[89.00561780022652, 449]","[89.23284148787373, 445]","[89.00561780022652, 449]","[89.00561780022652, 449]"
404,"(305, 3028)","(452, 3080)","(378.5, 3028)","(378.5, 3080)","(305, 3054.0)","(452, 3054.0)","[89.15856661028148, 412]","[87.23531395025755, 440]","[87.23531395025755, 440]","[87.23531395025755, 440]"
405,"(481, 3021)","(529, 3086)","(505.0, 3021)","(505.0, 3086)","(481, 3053.5)","(529, 3053.5)","[81.01388769834466, 407]","[81.01388769834466, 407]","[81.01388769834466, 407]","[85.52923476800198, 441]"
406,"(556, 3021)","(616, 3083)","(586.0, 3021)","(586.0, 3083)","(556, 3052.0)","(616, 3052.0)","[81.01388769834466, 406]","[81.01388769834466, 406]","[-1, 0]","[81.01388769834466, 406]"
407,"(643, 3021)","(778, 3083)","(710.5, 3021)","(710.5, 3083)","(643, 3052.0)","(778, 3052.0)","[98.0522819724253, 415]","[70.28869041318099, 442]","[70.28869041318099, 442]","[70.28869041318099, 442]"
408,"(807, 3021)","(989, 3083)","(898.0, 3021)","(898.0, 3083)","(807, 3052.0)","(989, 3052.0)","[91.68560410446125, 417]","[113.92321975787026, 443]","[91.68560410446125, 417]","[91.68560410446125, 417]"
409,"(1018, 3018)","(1121, 3086)","(1069.5, 3018)","(1069.5, 3086)","(1018, 3052.0)","(1121, 3052.0)","[-1, 0]","[82.03810090439686, 447]","[82.03810090439686, 447]","[82.03810090439686, 447]"
410,"(1148, 3018)","(1192, 3083)","(1170.0, 3018)","(1170.0, 3083)","(1148, 3050.5)","(1192, 3050.5)","[80.94751385929032, 419]","[75.37406715840667, 449]","[75.37406715840667, 449]","[75.37406715840667, 449]"
411,"(302, 3107)","(416, 3175)","(359.0, 3107)","(359.0, 3175)","(302, 3141.0)","(416, 3141.0)","[88.94099167425557, 420]","[89.00140448330015, 413]","[88.94099167425557, 420]","[88.94099167425557, 420]"
412,"(425, 3104)","(471, 3179)","(448.0, 3104)","(448.0, 3179)","(425, 3141.5)","(471, 3141.5)","[82.53029746705145, 421]","[85.00588214941364, 414]","[82.53029746705145, 421]","[82.53029746705145, 421]"
